epic_number,Period_1,PeriodAmp1,P1 0.5 Harmonic Amp,P1 2 Harmonic Amp,P1 3 Harmonic Amp,P1 4 Harmonic Amp,P1 5 Harmonic Amp,Period_2,PeriodAmp2,P2 0.5 Harmonic Amp,P2 2 Harmonic Amp,P2 3 Harmonic Amp,P2 4 Harmonic Amp,P2 5 Harmonic Amp,Period_3,PeriodAmp3,P3 0.5 Harmonic Amp,P3 2 Harmonic Amp,P3 3 Harmonic Amp,P3 4 Harmonic Amp,P3 5 Harmonic Amp,Period_4,PeriodAmp4,P4 0.5 Harmonic Amp,P4 2 Harmonic Amp,P4 3 Harmonic Amp,P4 4 Harmonic Amp,P4 5 Harmonic Amp,Period_5,PeriodAmp5,P5 0.5 Harmonic Amp,P5 2 Harmonic Amp,P5 3 Harmonic Amp,P5 4 Harmonic Amp,P5 5 Harmonic Amp,Period Doubled,1% Sig. Level
205703649,8.114579151,0.114495963,0.000565998,0.102585934,0.092473116,0.083203498,0.081273149,0.676164918,0.0720019,0.005235326,0.031294471,0.009230104,0.002479443,0.001861487,0.579610609,0.064255414,0.005235326,0.022722644,0.003128753,0.001939024,0.00185414,0.507185982,0.055742574,0.004465814,0.014136309,0.002099823,0.001640116,0.00170639,0.4507237,0.046419161,0.004465814,0.006107493,0.001939024,0.00170639,0.001657267,1,0.012348946
202851823,0.961450827,0.982451004,0.001687058,0.029114055,0.006975895,0.001603277,0.008413407,0.044661165,0.006052582,0.001381991,,,,,0.509118632,0.005181137,0.001472347,0.002237544,0.001028299,0.001034482,0.000857705,0.320713272,0.004388811,0.003025522,0.001034923,0.000666918,0.00111803,0.003762449,0.054370916,0.003974563,0.000403041,,,,,1,0.012965868
204787022,20,0.047749098,,0.009656632,0.024789116,0.014451633,0.02575981,14.5536205,0.032689102,,0.024789116,0.014451633,0.012838102,0.012138609,2.03680129,0.027825343,0.014496167,0.007871053,0.005943763,0.006914321,0.008219866,18.82580772,0.027440567,,0.007080488,0.007083505,0.014320457,0.014320457,13.80191578,0.025470698,,0.021578269,0.014320457,0.003971294,0.010588175,0,0.011935599
203819777,7.592636533,0.691726714,0.050922625,0.016046083,0.020285354,0.006828476,0.006199751,7.216704098,0.459561574,0.050650656,0.010950073,0.020285354,0.006828476,0.003655444,8.009887462,0.448052912,0.050922625,0.010950073,0.020285354,0.003305728,0.005599489,6.846877368,0.186684654,0.041385447,0.006860207,0.003305728,0.004811906,0.004723658,8.475664938,0.120307071,0.04860827,0.01052109,0.005522071,0.003305728,,0,0.016893034
204185956,15.39192304,0.05456122,,0.01463985,0.040136797,0.026392333,0.023951822,16.33270241,0.054095305,,0.019574012,0.036877336,0.034560359,0.022278532,14.5536205,0.053151217,,0.008735805,0.036877336,0.009630448,0.022278532,17.20925021,0.052394005,,0.024623599,0.027501539,0.034552507,0.009630448,13.80191578,0.048895325,,0.019238096,0.034552507,,0.017104087,0,0.015651922
202683805,16.68669267,0.457969302,0.075217775,0.007401258,0.021981111,0.012608725,0.006012753,8.801356911,0.262982249,0.074153387,0.046109425,0.024205642,0.015342636,0.006384455,7.930646344,0.249081852,0.074153387,0.0050366,0.018089714,0.006384455,0.006729872,6.788893505,0.073793941,0.056349763,0.024279647,0.015342636,0.001807686,0.006729872,5.1525683,0.060921576,0.058477211,0.015342636,0.001807686,0.007229249,0.00346674,1,0.017592471
203026255,0.043156077,0.708145774,0.001559643,,,,,0.046643902,0.281334475,0.002023307,,,,,0.06658724,0.00675173,0.00462559,,,,,0.051679023,0.00540346,0.002023307,,,,,0.056753599,0.005252789,0.000882702,,,,,0,0.013039171
205405404,0.643356936,0.909204929,0.1477923,0.022834409,0.002161284,0.007232486,0.002387011,0.214425996,0.079442304,0.001872931,0.000965932,0.005603779,0.005115312,0.005453084,0.128673942,0.019714501,0.002711622,0.001465526,0.005453084,,,0.088795076,0.007232486,0.005732363,0.005453084,,,,0.19820322,0.005732363,0.002937252,0.000753124,0.000494034,0.005453084,,1,0.012606147
203656237,0.115518372,0.334346277,0.008103403,0.010850235,0.005127796,,,0.081637816,0.235355961,0.004418092,0.005127796,,,,0.104947387,0.083693924,0.008103403,0.047543541,,,,0.047193087,0.047543541,0.009754743,,,,,0.132886583,0.036734249,0.008040306,0.010850235,0.003303182,,,0,0.022184862
205495245,0.468915239,0.626414531,0.000988907,0.159552216,0.087700991,0.040858997,0.015822619,0.078174735,0.008206733,0.003492359,0.000907357,,,,0.5148406,0.004469199,0.00063631,0.001408653,0.003492359,0.001470195,0.001343656,0.38354911,0.004169287,0.001215146,0.001551008,0.001470195,0.000511676,0.003304892,0.06699346,0.003520854,0.001470195,,,,,0,0.01289996
204508330,11.86179414,0.027637617,,0.006060738,0.00319871,0.007635007,0.008763789,0.244660184,0.024688038,0.00681929,0.003368494,0.003366894,0.003271857,0.003350518,18.60732198,0.02433342,,0.006693347,0.006060738,0.003723682,0.007635007,14.96103795,0.022347071,,0.006031456,0.005514609,0.007635007,0.007635007,17.58679124,0.02163507,,0.005007302,0.006060738,0.00085811,0.007635007,0,0.011878942
204531124,3.937712786,0.176320515,0.003709896,0.018855237,0.005328732,0.003264599,0.014384699,3.424644706,0.166809084,0.016277803,0.139184555,0.005328732,0.014384699,0.010833564,3.744581674,0.075292997,0.001314328,0.001564282,0.002932074,0.001970125,0.000370615,4.151849189,0.062318073,0.004862404,0.001754782,0.001246444,0.002171977,,5.341391997,0.027118467,0.006104991,0.007887892,0.001608618,0.001150469,,0,0.012200158
