,Period_1,PeriodAmp1,P1 0.5 Harmonic Amp,P1 2 Harmonic Amp,P1 3 Harmonic Amp,P1 4 Harmonic Amp,P1 5 Harmonic Amp,Period_2,PeriodAmp2,P2 0.5 Harmonic Amp,P2 2 Harmonic Amp,P2 3 Harmonic Amp,P2 4 Harmonic Amp,P2 5 Harmonic Amp,Period_3,PeriodAmp3,P3 0.5 Harmonic Amp,P3 2 Harmonic Amp,P3 3 Harmonic Amp,P3 4 Harmonic Amp,P3 5 Harmonic Amp,Period_4,PeriodAmp4,P4 0.5 Harmonic Amp,P4 2 Harmonic Amp,P4 3 Harmonic Amp,P4 4 Harmonic Amp,P4 5 Harmonic Amp,Period_5,PeriodAmp5,P5 0.5 Harmonic Amp,P5 2 Harmonic Amp,P5 3 Harmonic Amp,P5 4 Harmonic Amp,P5 5 Harmonic Amp,Period Doubled,Campaign Number
201266727.0,0.2815974914,0.9598867508,0.012263968253109252,0.022062205448652113,0.00343789645242645,,,0.0517106922,0.0034378965,0.0028025489806707327,,,,,0.3306339468,0.0032585142,0.0002716154041902457,0.0008025187479899446,0.00042280435268445406,0.0029964872697944415,0.002569747573399856,0.194831256,0.0030432139,0.00021900890809155654,0.0029964872697944415,0.00014759381911049488,0.00033343320393967136,0.0023297434365570618,0.0894390153,0.0029964873,0.00021597693639949635,0.0023297434365570618,,,,1.0,1.0
201689490.0,11.121280139,0.4064412389,0.31149796913186334,0.00416107460591726,0.004070483775416612,0.0022466599058640494,0.001916894438823883,20.0,0.3114979691,,0.21866491055779952,0.02947741820581139,0.0042111322566557976,0.0027320584502323582,11.7746807108,0.2592801731,,0.003884576538050063,0.0027320584502323582,0.004070483775416612,0.001916894438823883,10.5365840273,0.2186649106,0.16499055688009076,0.0038297808867683355,0.004070483775416612,0.0006254356601227561,0.001916894438823883,18.8258077168,0.1649905569,,0.047039162265758196,0.029101922651016486,0.0038297808867683355,0.0027320584502323582,0.0,1.0
201721222.0,11.6042368656,0.0965703556,,0.00910491292142498,0.0072916312128772694,0.0031118755346851747,0.006148128562718269,14.4227013221,0.080727563,,0.003772454385395881,0.00883841197349831,0.006964983509823442,0.0031118755346851747,15.2455631874,0.0593284612,,0.0034181147354401826,0.00883841197349831,0.0072916312128772694,0.0031118755346851747,11.0446687951,0.0582016657,0.016401315531324945,0.00910491292142498,0.0072916312128772694,0.0031611242942478192,0.016524008303962813,12.2235309098,0.0473827112,,0.00910491292142498,0.0072916312128772694,0.002286618004627538,0.0031611242942478192,0.0,1.0
201543049.0,0.2451464996,0.0763222722,0.005704982736251149,0.013058312368211498,0.004935070962778215,0.0016621687922220236,0.0019211173277762896,1.9336304353,0.0222206707,0.0025914090683000364,0.008065618501197663,0.009868313415282735,0.005704982736251149,0.009263567666486276,8.899060244,0.0196186822,0.008565286933635056,0.0018882132614941231,0.011979644789990845,0.011590709358518645,0.007003943228589899,14.2941165522,0.0172486751,,0.008501021253464039,0.0034871541351088175,0.0026720610064798734,0.004896032765291208,9.4220270154,0.0143041229,0.007519435749084527,0.0034871541351088175,0.003180420643845543,0.010106679705037605,0.010106679705037605,0.0,1.0
201545555.0,2.3332077581,0.0141204781,0.0050232176300980804,0.006070404484754943,0.003384751796183414,0.006666457384704647,0.0038870738804856453,18.8258077168,0.0107211667,,0.007560935442898381,0.0050989036599029935,0.004787738630853449,0.0031101972768905013,2.4584249665,0.0095742625,0.004787738630853449,0.005065537389593652,0.003384751796183414,0.0021786103013664523,0.0036271384466157004,17.7818425988,0.0088084048,,0.007560935442898381,0.0036345959171087453,0.004787738630853449,0.0031101972768905013,20.0,0.0086264072,,0.007560935442898381,0.0036345959171087453,0.002952943389133307,0.0024166127257011123,0.0,1.0
201460186.0,20.0,0.0600254886,,0.011812549108972963,0.004380742551358095,0.003744462799598729,0.0032721463730465746,0.2460494104,0.0275510839,0.01553885027848381,0.006269826349757602,0.0025272457887196994,0.0014304489168751606,0.001195451458415645,18.8258077168,0.0245808762,,0.006845617802809121,0.0025183754227376767,0.003744462799598729,0.004150272302361095,3.1864274571,0.0133262392,0.0009728159220417882,0.0075850573179435075,0.007433715873003446,0.006111216075470837,0.006720809909354488,11.3576266675,0.0118125491,,0.000859684423207364,0.004150272302361095,0.003746730187476082,0.0036081255262653956,0.0,1.0
201415414.0,20.0,0.0158319441,,0.0040896957854671704,0.0032794547771568734,0.006103348455966641,0.004034287482409165,18.8258077168,0.0115123919,,0.0019125699868759905,0.0026193394200773137,0.005477707608631331,0.003695382863888652,0.2470731684,0.0075719305,0.003313132756832082,0.003219664757075954,0.002663931686360843,0.0022373407773205885,0.002258993177913755,1.9765382913,0.0073057529,0.0016328719429889627,0.004326172343735996,0.003656101248755643,0.003313132756832082,0.0030043370469408815,17.7818425988,0.006844419,,0.0019125699868759905,0.006103348455966641,0.0016328719429889627,0.0022198029645136863,0.0,1.0
201615601.0,1.1857270564,0.270669636,0.011052457145463046,0.04325034794905465,0.00115945420733676,0.0015223305046480652,0.0006983832690620199,1.2485145054,0.136186415,0.0026936599973547554,0.04325034794905465,0.001254080636230232,0.0015223305046480652,0.0004993066889326386,1.6594460158,0.0790307023,0.005889391110008084,0.04545188195714795,0.0023000031827850593,0.001254080636230232,0.0015223305046480652,1.3381284184,0.0509714546,0.003965113515513137,0.006747162588372652,0.0023000031827850593,0.0008961795199884025,0.000435655257759488,1.0019583054,0.0439147423,0.011052457145463046,0.0023000031827850593,0.0008961795199884025,0.0004138218384660607,0.0013935773416857552,0.0,1.0
201735172.0,0.2451090221,0.0198891319,0.0072449804620625755,0.006175950894826164,0.0029872741964862577,0.002425165441179848,0.0018976714419091545,15.101960553,0.0130076611,,0.012791165693223246,0.012155233951389375,0.003989185239275218,0.00577905210431162,6.8468773682,0.0127911657,0.008875749978087941,0.003989185239275218,0.00921592925650862,0.0048519296059188035,0.006103993120603461,4.6316030709,0.012155234,0.008646977992622571,0.007724310082485191,0.006103993120603461,0.007834708384284843,0.007991517836058538,16.0065862148,0.009279972,,0.0061024323368514015,0.00927033552143375,0.0025756405216407325,0.0054911746060841175,0.0,1.0
201589262.0,4.0326188551,0.0158277164,0.003955810831995152,0.01485053645247229,0.011792634417769452,0.010296781635993367,0.007899914863606193,0.3249381734,0.0130415811,0.011792634417769452,0.0026543816355360395,0.0010105819536296312,0.0009607468628534773,0.0010931937527684553,0.2463518606,0.0121980799,0.010296781635993367,0.0011171546387173223,0.00058864322833131,0.001033724533146006,0.0007001450754507082,0.5995511056,0.0117926344,0.006874975270378491,0.009919865102892469,0.007998008009835121,0.0010937359704193991,0.0009895656453483457,14.2941165522,0.0104165176,,0.008688459765178218,0.008574668916601838,0.003269909207587158,0.0038353578714509277,1.0,1.0
