,epic,DJA_period,SJH_period,class,probability
0,201488365,6.717661,6.734215176,    EA,0.98383
0,201893576,0.929924,0.92994307,    EA,0.714268
0,201828402,19.686048,19.27854202, Noise,0.9819120000000001
0,201738572,13.127447,13.01749271,OTHPER,0.994142
0,201387169,16.582034,18.393849399999997, Noise,0.9885510000000001
0,201720109,16.758426999999998,19.27854202, Noise,0.9840049999999999
0,201552857,19.940433,14.96103795, Noise,0.982516
0,201927024,0.237296,0.237294305,    EB,0.923997
0,201882460,19.940432,18.18521939, Noise,0.9827
0,201407812,2.825638,2.827275823,    EA,0.7756109999999999
0,201590024,16.586325,20.0, Noise,0.991359
0,201543049,19.940395000000002,0.24514650000000002, Noise,0.988408
0,201610811,0.28231,0.14114581,    EB,0.900755
0,201479538,16.582047,14.96103795, Noise,0.985402
0,201910662,14.191832999999999,20.0, Noise,0.982743
0,201531578,0.375203,0.375208893,    EB,0.936976
0,201271106,13.127441000000001,12.91265237,OTHPER,0.992301
0,201676716,17.901065,10.606286599999999, Noise,0.9865280000000001
0,201902310,15.444033,15.39192304,OTHPER,0.9900959999999999
0,201762815,0.44644799999999996,0.22323332199999998,    EB,0.9959389999999999
0,201592061,0.278566,0.13928204,    EB,0.9956659999999999
0,201933700,19.940395000000002,20.0, Noise,0.981517
0,201571821,14.065103,20.0, Noise,0.9838379999999999
0,201549223,19.940394,18.82580772, Noise,0.9828049999999999
0,201789080,11.415157,11.77468071,OTHPER,0.9907239999999999
0,201600674,16.938615,17.39597255, Noise,0.9834209999999999
0,201325244,9.321278,9.312573514,OTHPER,0.9900629999999999
0,201368515,2.133102,2.131578436,    EA,0.748617
0,201448202,15.014460999999999,19.75358815, Noise,0.982866
0,201648133,17.601016,17.50661074,    EA,0.972627
0,201739972,0.055675999999999996,0.055677502000000004, DSCUT,0.9582120000000001
0,201607088,0.530848,0.53087906,    EB,0.982095
0,201689490,11.172298,11.12128014,OTHPER,0.991966
0,201398311,0.464398,0.464567348,  RRab,0.832359
0,201608319,13.580095000000002,13.45444989,OTHPER,0.993466
0,201749821,1.402128,1.401996437,    EB,0.998527
0,201709153,15.91204,20.0, Noise,0.982957
0,201377900,18.753493,19.27854202, Noise,0.984591
0,201674807,19.93522,18.18521939, Noise,0.984044
0,201728074,16.409285,0.24548431399999998, Noise,0.983509
0,201592815,15.916174,12.41280103, Noise,0.9818
0,201238932,0.057045000000000005,0.057044372, DSCUT,0.936373
0,201381586,19.940406,16.168, Noise,0.982607
0,201273981,7.160438,7.120551857000001,OTHPER,0.9932770000000001
0,201907820,15.596972000000001,13.232365, Noise,0.985037
0,201766747,18.753478,14.29411655, Noise,0.983093
0,201780233,0.5736680000000001,0.573597115,  RRab,0.716609
0,201735172,17.122729,15.69323825, Noise,0.981196
0,201919351,19.940416,20.0, Noise,0.981142
0,201700978,16.582034,16.50079498,OTHPER,0.994007
0,201803365,0.24598499999999998,0.245882718,    EB,0.967434
0,201562530,14.065106,3.318325585,    EA,0.7187640000000001
0,201505569,17.306427,16.847578100000003, Noise,0.98339
0,201769424,14.86125,16.67238347, Noise,0.981406
0,201517854,0.279679,0.279681723,    EB,0.911546
0,201222038,19.691183,16.50079498, Noise,0.9845870000000001
0,201410584,19.940416,17.02649374, Noise,0.9834649999999999
0,201725951,19.940392000000003,20.0, Noise,0.989083
0,201476362,0.312249,0.31225490100000003,    EB,0.983152
0,201840254,10.098032,10.13687781,OTHPER,0.996243
0,201753654,15.912029,20.0, Noise,0.983714
0,201721222,14.861254999999998,11.60423687, Noise,0.984682
