epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,Class
205975008,18.82580772,20.0,1.0623714157428992,,,,, Noise
206357626,11.77468071,20.0,1.6985598584439237,4852.0,0.76,0.82,6.246990731583402,OTHPER
206084294,14.56452271,6.092371644,0.4183021830037024,4028.0,0.42,0.48,8.4560611193783,OTHPER
206289726,20.0,18.82580772,0.941290386,5241.0,0.78,0.82,5.888892302494579, Noise
206364070,17.20925021,13.68411675,0.7951605434877339,5824.0,1.1,1.01,4.993176476698208, Noise
205965632,12.60802469,13.34248336,1.0582532702828962,4254.0,0.4,0.46,8.972919219274218, Noise
205904010,13.56831151,12.91265237,0.9516771751948081,4542.0,0.66,0.72,6.93873338097108, Noise
206134785,15.54112028,12.70795757,0.8176989393971796,5579.0,0.94,0.87,5.089168238910766, Noise
206483262,16.847578100000003,16.00658621,0.9500823272634062,,,,, Noise
205985930,17.98126902,19.0494853,1.0594071685825877,6057.0,1.13,1.14,4.097498798518382,OTHPER
206357916,19.75358815,18.60732198,0.9419717490667638,3599.0,0.25,0.26,, Noise
206331788,4.828013265,3.593510924,0.7443042772998677,4481.0,13.45,1.02,1.0771512548280615,OTHPER
206152419,14.1678043,14.96103795,1.0559884674578686,5615.0,0.9,0.89,3.818363523137947, Noise
206313277,20.0,13.56831151,0.6784155755,6233.0,1.44,1.21,3.9257462684708457, Noise
206093574,6.186402449,18.393849399999997,2.9732707420244324,3523.0,0.24,0.23,, Noise
206233466,16.50079498,15.69323825,0.9510595258604929,5744.0,0.99,0.92,5.079927408469972, Noise
206160501,17.69987785,15.24556319,0.861337197872244,5779.0,1.26,0.95,3.6733535200133236, Noise
206110903,16.847578100000003,7.739237342999999,0.4593679457701993,4045.0,0.45,0.52,7.584563039865788, Noise
206464365,12.91265237,16.00658621,1.239604827214906,7647.0,1.58,1.61,,OTHPER
206252099,18.82580772,17.7818426,0.9445460648739697,5247.0,0.81,0.86,5.987922817612171, Noise
206111519,19.27854202,18.18521939,0.9432881060784699,3900.0,0.42,0.47,,OTHPER
206171223,17.02649374,16.168,0.9495789471919778,,,,,
206101111,16.33270241,17.20925021,1.053668264932282,4210.0,0.5,0.56,, Noise
206198659,0.652919852,0.12746680800000001,0.19522581157480262,,,,,
206457701,13.87146882,14.68693823,1.058787531485076,,,,,
206004117,20.0,14.5536205,0.727681025,4985.0,9.78,0.93,0.7354027651496224, Noise
206216043,12.13104396,10.13687781,0.8356146299877063,,,,,
205930773,11.52085209,14.04370486,1.2189814390716651,,,,, Noise
206495647,19.0494853,8.753305371,0.4595035106276598,4172.0,0.49,0.56,7.175368901230474, Noise
206302767,20.0,14.42270132,0.721135066,5964.0,1.31,1.08,4.404411209947996, Noise
206217386,18.393849399999997,19.51317428,1.0608532154231949,,,,,
206208760,10.46779162,9.948185186,0.9503614083215768,4060.0,0.47,0.53,8.931265131675, Noise
206198986,13.68411675,14.42270132,1.0539738576843114,6423.0,1.52,1.28,3.7373719253321696, Noise
206037600,17.20925021,13.68411675,0.7951605434877339,5860.0,1.1,1.02,3.607766335440937, Noise
206125880,5.743194735,5.468930255,0.9522453107277408,6183.0,1.34,1.15,,OTHPER
206500632,16.168,15.39192304,0.9519991984166255,4242.0,0.55,0.61,7.828561096679053, Noise
206363004,18.62514703,9.826244946000001,0.5275794564291287,4590.0,0.66,0.73,6.58721475039507,OTHPER
206093607,11.52085209,13.80191578,1.1979943559886463,4989.0,0.71,0.75,5.614649559690406, Noise
206199600,15.25752714,10.67691752,0.6997803393715608,4999.0,4.03,0.95,-0.024138971504108042,OTHPER
206552646,20.0,13.12404942,0.6562024710000001,5718.0,1.04,1.02,3.5772043043956323, Noise
206314688,16.67238347,11.19896174,0.6717073032869727,4181.0,0.5,0.58,7.829900359416179, Noise
206420211,20.0,12.91265237,0.6456326185,5748.0,0.94,0.93,4.313289316723562, Noise
206177519,20.0,18.82580772,0.941290386,,,,, Noise
206142534,15.10196055,16.00658621,1.0599012066681632,3993.0,0.45,0.5,7.427485468755501, Noise
206124977,20.0,16.33270241,0.8166351205,6422.0,1.41,1.2,3.9169326760259118,OTHPER
206291186,17.39597255,18.393849399999997,1.0573625215337557,,,,,
206218229,14.63097733,15.54112028,1.062206572361629,4639.0,11.09,1.26,1.2257515249670803, Noise
206217228,17.7818426,18.82580772,1.0587096142668588,,,,,
206106803,20.0,18.82580772,0.941290386,3885.0,0.33,0.35,8.461638071674155, Noise
206002094,13.12404942,13.92176057,1.0607823945545611,5534.0,2.02,1.14,4.438084633371474, Noise
205929216,11.12128014,11.77468071,1.0587522804726328,3867.0,0.35,0.38,, Noise
206404348,14.1678043,13.45444989,0.9496496143724966,4092.0,0.5,0.57,9.449873096148865, Noise
206059945,17.7818426,13.68411675,0.7695556111828366,5758.0,1.83,1.09,3.851900946398823,OTHPER
206261305,20.0,4.354837795,0.21774188975,4087.0,0.47,0.53,9.376402930026039, Noise
206356690,20.0,18.82580772,0.941290386,6434.0,1.28,0.85,2.9044535469462964,OTHPER
206402831,17.98126902,17.02649374,0.94690167424012,,,,, Noise
206234910,18.60732198,19.75358815,1.0616029631363428,,,,,
206252553,18.393849399999997,19.51317428,1.0608532154231949,5395.0,0.93,0.9,5.29933920884411,OTHPER
206021225,12.22353091,15.54112028,1.271410069187611,4945.0,9.68,0.93,1.9900735420384716, Noise
206357857,0.244324633,1.111730364,4.550218086278677,4694.0,12.77,0.96,1.2975272931044586, Noise
206189683,12.22353091,11.60423687,0.9493359124659014,,,,,
206414740,15.10196055,14.29411655,0.946507342717168,,,,,
206482009,18.393849399999997,19.51317428,1.0608532154231949,,,,,
206362597,11.95020618,20.0,1.6736112916170622,5711.0,0.98,0.99,4.765058498313758, Noise
206382727,20.0,13.45444989,0.6727224945,5691.0,0.96,0.94,4.052465581504627,OTHPER
206459150,19.75358815,18.60732198,0.9419717490667638,,,,,
206287721,16.26352682,10.01029732,0.6155059373524001,4241.0,0.55,0.61,7.837375480589561, Noise
206144774,15.54112028,16.50079498,1.0617506770882543,4831.0,0.69,0.74,6.635902941593908, Noise
