epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,Class
205975008,19.27854202,18.18521939,0.9432881060784699,,,,, Noise
206357626,11.95020618,20.0,1.6736112916170622,4852.0,0.76,0.82,6.246990731583402,OTHPER
206084294,7.282261352999999,6.092371644,0.8366043662371699,4028.0,0.42,0.48,8.4560611193783,OTHPER
206289726,19.75358815,18.60732198,0.9419717490667638,5241.0,0.78,0.82,5.888892302494579, Noise
206364070,20.0,18.82580772,0.941290386,5824.0,1.1,1.01,4.993176476698208, Noise
205965632,12.60802469,13.34248336,1.0582532702828962,4254.0,0.4,0.46,8.972919219274218, Noise
205904010,13.45444989,12.80948727,0.9520632485703212,4542.0,0.66,0.72,6.93873338097108, Noise
206134785,20.0,12.80948727,0.6404743635,5579.0,0.94,0.87,5.089168238910766, Noise
206483262,17.58679124,16.67238347,0.9480059916831082,,,,, Noise
205985930,18.393849399999997,17.39597255,0.9457494280669713,6057.0,1.13,1.14,4.097498798518382,OTHPER
206357916,20.0,18.82580772,0.941290386,3599.0,0.25,0.26,, Noise
206331788,2.414006632,3.601583237,1.4919525030534382,4481.0,13.45,1.02,1.0771512548280615,OTHPER
206152419,15.69323825,12.13104396,0.7730108832063388,5615.0,0.9,0.89,3.818363523137947, Noise
206313277,19.75358815,18.60732198,0.9419717490667638,6233.0,1.44,1.21,3.9257462684708457, Noise
206093574,6.162623677000001,18.393849399999997,2.9847432463950523,3523.0,0.24,0.23,, Noise
206233466,16.33270241,17.20925021,1.053668264932282,5744.0,0.99,0.92,5.079927408469972, Noise
206160501,16.50079498,17.39597255,1.0542505722351567,5779.0,1.26,0.95,3.6733535200133236, Noise
206110903,16.00658621,15.10196055,0.943484160324277,4045.0,0.45,0.52,7.584563039865788, Noise
206464365,19.75358815,18.60732198,0.9419717490667638,7647.0,1.58,1.61,,OTHPER
206252099,19.0494853,17.98126902,0.9439241395146776,5247.0,0.81,0.86,5.987922817612171, Noise
206111519,18.82580772,20.0,1.0623714157428992,3900.0,0.42,0.47,,OTHPER
206171223,16.33270241,17.20925021,1.053668264932282,,,,,
206101111,17.02649374,17.98126902,1.0560758600437485,4210.0,0.5,0.56,, Noise
206198659,16.50079498,0.326459926,0.019784496831558116,,,,,
206457701,6.996264918,14.82272104,2.1186620595032193,,,,,
206004117,20.0,14.5536205,0.727681025,4985.0,9.78,0.93,0.7354027651496224, Noise
206216043,12.22353091,10.13687781,0.8292921157263226,,,,,
205930773,20.0,13.68411675,0.6842058375,,,,, Noise
206495647,8.65875933,18.393849399999997,2.1243054228647784,4172.0,0.49,0.56,7.175368901230474, Noise
206302767,19.27854202,18.18521939,0.9432881060784699,5964.0,1.31,1.08,4.404411209947996, Noise
206217386,20.0,16.847578100000003,0.8423789050000001,,,,,
206208760,10.46779162,9.948185186,0.9503614083215768,4060.0,0.47,0.53,8.931265131675, Noise
206198986,14.04370486,13.34248336,0.9500686245552442,6423.0,1.52,1.28,3.7373719253321696, Noise
206037600,20.0,18.82580772,0.941290386,5860.0,1.1,1.02,3.607766335440937, Noise
206125880,5.743194735,5.468930255,0.9522453107277408,6183.0,1.34,1.15,,OTHPER
206500632,16.00658621,17.02649374,1.063717991870298,4242.0,0.55,0.61,7.828561096679053, Noise
206363004,9.312573514,9.826244946000001,1.0551589129715622,4590.0,0.66,0.73,6.58721475039507,OTHPER
206093607,13.34248336,9.205633803,0.6899490563052124,4989.0,0.71,0.75,5.614649559690406, Noise
206199600,7.628763572,10.67691752,1.399560678376205,4999.0,4.03,0.95,-0.024138971504108042,OTHPER
206552646,19.0494853,17.98126902,0.9439241395146776,5718.0,1.04,1.02,3.5772043043956323, Noise
206314688,14.5536205,13.80191578,0.9483492976885031,4181.0,0.5,0.58,7.829900359416179, Noise
206420211,20.0,18.82580772,0.941290386,5748.0,0.94,0.93,4.313289316723562, Noise
206177519,19.75358815,18.60732198,0.9419717490667638,,,,, Noise
206142534,15.24556319,16.168,1.0605052629741518,3993.0,0.45,0.5,7.427485468755501, Noise
206124977,20.0,18.82580772,0.941290386,6422.0,1.41,1.2,3.9169326760259118,OTHPER
206291186,17.20925021,18.18521939,1.0567118943643972,,,,,
206218229,7.349020584,17.02649374,2.3168384882564372,4639.0,11.09,1.26,1.2257515249670803, Noise
206217228,17.39597255,13.56831151,0.7799685513989846,,,,,
