epic_number,Campaign,Class,Probability
201129544,1,OTHPER,0.993138
201146397,1,OTHPER,0.994474
201152399,1,OTHPER,0.9915299999999999
201159302,1, Noise,0.9826090000000001
201180520,1,OTHPER,0.9934219999999999
201182911,1,    EA,0.982395
201184068,1,    EA,0.7918270000000001
201185922,1,  RRab,0.726632
201193506,1,    EB,0.92425
201193591,1, Noise,0.985741
201193666,1,    EB,0.971802
201198562,1, Noise,0.981981
201199000,1,  GDOR,0.663535
201203630,1,OTHPER,0.994265
201220442,1,OTHPER,0.990425
201222038,1, Noise,0.9845870000000001
201238932,1, DSCUT,0.936373
201246763,1,    EA,0.813033
201251164,1,OTHPER,0.9902569999999999
201253025,1,    EA,0.998633
201257260,1,OTHPER,0.992557
201266727,1,    EB,0.9995719999999999
201271106,1,OTHPER,0.992301
201273981,1,OTHPER,0.9932770000000001
201318538,1,OTHPER,0.990144
201318977,1,OTHPER,0.9937040000000001
201325244,1,OTHPER,0.9900629999999999
201330013,1,OTHPER,0.992539
201330992,1, Noise,0.990399
201356556,1,OTHPER,0.9962290000000001
201368515,1,    EA,0.748617
201371436,1, Noise,0.993808
201375034,1, Noise,0.9813709999999999
201377900,1, Noise,0.984591
201379113,1,    EA,0.9981760000000001
201380321,1,OTHPER,0.9936389999999999
201381586,1, Noise,0.982607
201382417,1,    EA,0.997609
201384087,1,OTHPER,0.992733
201386598,1, Noise,0.9849889999999999
201387169,1, Noise,0.9885510000000001
201398311,1,  RRab,0.832359
201407812,1,    EA,0.7756109999999999
201410584,1, Noise,0.9834649999999999
201415414,1, Noise,0.984401
201417392,1, Noise,0.9861549999999999
201419249,1,OTHPER,0.9923190000000001
201422314,1, Noise,0.9897889999999999
201423623,1, Noise,0.982058
201427257,1, Noise,0.983735
201430034,1, Noise,0.9860479999999999
201434469,1,  GDOR,0.941915
201438515,1, Noise,0.9877379999999999
201446898,1, Noise,0.98265
201448202,1, Noise,0.982866
201458798,1,    EB,0.9982
201460186,1, Noise,0.985925
201462240,1,OTHPER,0.9947309999999999
201473612,1,    EB,0.9903850000000001
201476362,1,    EB,0.983152
201479538,1, Noise,0.985402
201484494,1, Noise,0.981424
201488365,1,    EA,0.98383
201488452,1,  RRab,0.760891
201493012,1,OTHPER,0.992187
