epic_number,Campaign,DJA_Class,DJA_Probability,Class
201129544,1,OTHPER,0.993138,OTHPER
201146397,1,OTHPER,0.994474,OTHPER
201152399,1,OTHPER,0.99153,OTHPER
201159302,1, Noise,0.982609, Noise
201167905,1,OTHPER,0.992203,OTHPER
201180520,1,OTHPER,0.993422,OTHPER
201182911,1,    EA,0.982395,    EA
201184068,1,    EA,0.7918270000000001,    EA
201185922,1,  RRab,0.726632, Noise
201193506,1,    EB,0.92425,    EB
201193591,1, Noise,0.985741, Noise
201193666,1,    EB,0.971802,    EB
201198562,1, Noise,0.981981, Noise
201199000,1,  GDOR,0.663535, Noise
201203630,1,OTHPER,0.994265,OTHPER
201220442,1,OTHPER,0.990425,OTHPER
201238932,1, DSCUT,0.936373, DSCUT
201246763,1,    EA,0.813033, Noise
201251164,1,OTHPER,0.990257,OTHPER
201253025,1,    EA,0.998633,    EA
201257260,1,OTHPER,0.992557,OTHPER
201266727,1,    EB,0.999572,    EB
201271106,1,OTHPER,0.992301,OTHPER
201273981,1,OTHPER,0.993277,OTHPER
201280924,1, Noise,0.987972, Noise
201318538,1,OTHPER,0.990144,OTHPER
201318977,1,OTHPER,0.993704,OTHPER
201325244,1,OTHPER,0.990063,OTHPER
201330013,1,OTHPER,0.992539,OTHPER
201330992,1, Noise,0.990399, Noise
201356556,1,OTHPER,0.996229,OTHPER
201368515,1,    EA,0.748617,    EA
201371436,1, Noise,0.993808, Noise
201375034,1, Noise,0.981371, Noise
201377900,1, Noise,0.984591, Noise
201379113,1,    EA,0.998176,    EA
201380321,1,OTHPER,0.993639,OTHPER
201381586,1, Noise,0.982607, Noise
201382417,1,    EA,0.997609,    EA
201384087,1,OTHPER,0.992733,OTHPER
201386598,1, Noise,0.984989, Noise
201387169,1, Noise,0.988551, Noise
201398311,1,  RRab,0.832359,  RRab
201407812,1,    EA,0.7756109999999999,    EA
201410584,1, Noise,0.983465, Noise
201415414,1, Noise,0.984401, Noise
201417392,1, Noise,0.986155, Noise
201419249,1,OTHPER,0.992319,OTHPER
201422314,1, Noise,0.989789, Noise
201423623,1, Noise,0.982058, Noise
201427257,1, Noise,0.983735, Noise
201430034,1, Noise,0.986048, Noise
201434469,1,  GDOR,0.941915,  GDOR
201438515,1, Noise,0.987738, Noise
201446898,1, Noise,0.98265, Noise
201448202,1, Noise,0.982866, Noise
201458798,1,    EB,0.9982,    EB
201460186,1, Noise,0.985925, Noise
201462240,1,OTHPER,0.994731,OTHPER
201473612,1,    EB,0.990385,    EB
201476362,1,    EB,0.983152,    EB
201479538,1, Noise,0.985402, Noise
201484494,1, Noise,0.981424, Noise
201488365,1,    EA,0.98383,    EA
201488452,1,  RRab,0.760891,  RRab
201493012,1,OTHPER,0.992187,OTHPER
201499998,1,OTHPER,0.996354,OTHPER
201501958,1,OTHPER,0.990697,OTHPER
201505569,1, Noise,0.98339, Noise
201507195,1, Noise,0.982179, Noise
201511174,1,OTHPER,0.990191,OTHPER
201517854,1,    EB,0.911546,    EB
201518531,1, Noise,0.981473, Noise
201518712,1,OTHPER,0.992839,OTHPER
201531578,1,    EB,0.936976,    EB
201534061,1, Noise,0.984075, Noise
201536956,1,  RRab,0.619929,  RRab
201537170,1, Noise,0.988056, Noise
201540013,1,  RRab,0.740287,  RRab
201543049,1, Noise,0.988408, Noise
201545555,1, Noise,0.987031, Noise
201546971,1, Noise,0.985052, Noise
201549223,1, Noise,0.982805, Noise
201552030,1,    EB,0.973491,    EB
201552857,1, Noise,0.982516, Noise
201552908,1, Noise,0.984163, Noise
201561005,1,OTHPER,0.992238,OTHPER
201562530,1,    EA,0.7187640000000001, Noise
201565020,1,OTHPER,0.990826,OTHPER
201567780,1, Noise,0.981323, Noise
201567820,1, Noise,0.981138, Noise
201571178,1, Noise,0.988199, Noise
201571821,1, Noise,0.983838, Noise
201572722,1, Noise,0.985687, Noise
201576812,1,    EA,0.7054630000000001,    EA
201579626,1, Noise,0.985006, Noise
201582850,1, Noise,0.981241, Noise
201583400,1, Noise,0.981544, Noise
201587445,1,OTHPER,0.993223,OTHPER
201589262,1, Noise,0.983502, Noise
201590024,1, Noise,0.991359, Noise
201592061,1,    EB,0.995666,    EB
201592476,1, Noise,0.984747, Noise
201592815,1, Noise,0.9818, Noise
201593658,1, Noise,0.984893, Noise
201600674,1, Noise,0.983421, Noise
201602854,1, DSCUT,0.994356, DSCUT
201603595,1,OTHPER,0.990969,OTHPER
201607088,1,    EB,0.982095,    EB
201608319,1,OTHPER,0.993466,OTHPER
201610136,1,OTHPER,0.991038,OTHPER
201610811,1,    EB,0.900755,    EB
201615127,1,OTHPER,0.99142,OTHPER
201615601,1,  GDOR,0.974643,  GDOR
201617930,1, Noise,0.983828, Noise
201621305,1, Noise,0.981382, Noise
201626606,1, Noise,0.989296, Noise
201630905,1, Noise,0.982933, Noise
201634054,1, Noise,0.981037, Noise
201634844,1, Noise,0.986987, Noise
201642107,1,OTHPER,0.994665,OTHPER
201644790,1, Noise,0.984605, Noise
201646800,1, Noise,0.983021, Noise
201648133,1,    EA,0.972627,    EA
201656525,1,OTHPER,0.995386,OTHPER
201664689,1,OTHPER,0.992039,OTHPER
201670373,1,OTHPER,0.994307,OTHPER
201671506,1,  GDOR,0.8280489999999999,  GDOR
201673708,1,OTHPER,0.993173,OTHPER
201674807,1, Noise,0.984044, Noise
201674814,1, Noise,0.983159, Noise
201676716,1, Noise,0.986528, Noise
201680569,1,    EB,0.967583,    EB
201681411,1,    EB,0.986243,    EB
201683910,1, Noise,0.985587, Noise
201686483,1,OTHPER,0.994418,OTHPER
201689490,1,OTHPER,0.991966,OTHPER
201691034,1, Noise,0.982147, Noise
201695625,1,    EB,0.91199,    EB
201698669,1,    EB,0.993093,    EB
201700240,1,OTHPER,0.99379,OTHPER
201700247,1,OTHPER,0.996481,OTHPER
201700978,1,OTHPER,0.994007,OTHPER
201704541,1,    EB,0.989999,    EB
201707257,1,OTHPER,0.997816,OTHPER
201709153,1, Noise,0.982957, Noise
201711578,1,OTHPER,0.992326,OTHPER
201715262,1,    EB,0.900547,    EB
201715393,1,  GDOR,0.749131,  GDOR
201716883,1,  RRab,0.944782,  RRab
201720674,1,OTHPER,0.992169,OTHPER
201720987,1, Noise,0.982213, Noise
201721222,1, Noise,0.984682, Noise
201723461,1,    EA,0.7306159999999999,    EA
201725399,1,    EB,0.990429,    EB
201725951,1, Noise,0.989083, Noise
201731218,1,OTHPER,0.992665,OTHPER
201735172,1, Noise,0.981196, Noise
201738572,1,OTHPER,0.994142,OTHPER
201738755,1,OTHPER,0.990714,OTHPER
201739972,1, DSCUT,0.958212, DSCUT
201748885,1, Noise,0.984361, Noise
201749821,1,    EB,0.998527,    EB
201751439,1, Noise,0.986128, Noise
201751532,1, Noise,0.984858, Noise
201753654,1, Noise,0.983714, Noise
201754974,1,OTHPER,0.992121,OTHPER
201762815,1,    EB,0.995939,    EB
201766747,1, Noise,0.983093, Noise
201768602,1, Noise,0.982866, Noise
201769424,1, Noise,0.981406, Noise
201774941,1, Noise,0.981886, Noise
201775723,1, Noise,0.981004, Noise
201780233,1,  RRab,0.716609,  RRab
201786731,1, Noise,0.986929, Noise
201789080,1,OTHPER,0.990724,OTHPER
201790080,1,    EB,0.997081,    EB
201802433,1, Noise,0.981658, Noise
201803365,1,    EB,0.967434,    EB
201809540,1,OTHPER,0.995873,OTHPER
201810513,1,    EA,0.935575,    EA
201814774,1,  GDOR,0.745607,  GDOR
201824843,1, Noise,0.98113, Noise
201826968,1,    EB,0.997466,    EB
201828402,1, Noise,0.981912, Noise
201832116,1,  GDOR,0.913095,  GDOR
201833284,1, Noise,0.981232, Noise
201839237,1, Noise,0.984328, Noise
201840254,1,OTHPER,0.996243,OTHPER
201850413,1, DSCUT,0.981465, DSCUT
201855304,1,OTHPER,0.992279,OTHPER
201870289,1,OTHPER,0.996384,OTHPER
201871270,1, Noise,0.98695, Noise
201871951,1,  GDOR,0.848618,  GDOR
201873161,1, Noise,0.985196, Noise
201882460,1, Noise,0.9827, Noise
201884852,1, Noise,0.983502, Noise
201890494,1,    EA,0.923384,    EA
201893576,1,    EA,0.714268,    EA
201896663,1,OTHPER,0.990853,OTHPER
201902310,1,OTHPER,0.990096,OTHPER
201903779,1,  GDOR,0.7372890000000001,  GDOR
201904174,1,    EB,0.913577,    EB
201907820,1, Noise,0.985037, Noise
201908974,1, Noise,0.98456, Noise
201910513,1,OTHPER,0.990492,OTHPER
201910662,1, Noise,0.982743, Noise
201914571,1, Noise,0.988747, Noise
201921381,1,    EB,0.983653,    EB
201926949,1,OTHPER,0.997439,OTHPER
201927024,1,    EB,0.923997,    EB
201927431,1, Noise,0.98348, Noise
201928270,1,    EB,0.90353,    EB
201933700,1, Noise,0.981517, Noise
201933752,1, Noise,0.986116, Noise
201937413,1, Noise,0.989357, Noise
201940505,1,    EB,0.988621,    EB
201940767,1,    EB,0.998529,    EB
202518676,2, DSCUT,0.982149, DSCUT
202554180,2, DSCUT,0.990963, DSCUT
202619356,2,OTHPER,0.990511,OTHPER
202643279,2,    EB,0.911619,    EB
202652559,2,  GDOR,0.697742,  GDOR
202656096,2, Noise,0.982264, Noise
202665304,2,OTHPER,0.990576,OTHPER
202674012,2,    EA,0.913231,    EA
202679718,2,    EB,0.9384,    EB
202683805,2,OTHPER,0.996007,OTHPER
202688980,2,    EA,0.7872520000000001,    EA
202773276,2, DSCUT,0.960321, DSCUT
202774129,2,    EB,0.938969,    EB
202843085,2,    EA,0.94648,    EA
202844711,2,    EA,0.987249,    EA
202851823,2,    EB,0.983295,    EB
202863081,2, DSCUT,0.954686, DSCUT
202872758,2,OTHPER,0.993287,OTHPER
202911789,2, DSCUT,0.969483, DSCUT
202929357,2, DSCUT,0.990444, DSCUT
202963882,2,    EB,0.931543,    EB
202968864,2,    EB,0.951079,    EB
202984824,2,OTHPER,0.992792,OTHPER
203011840,2,    EA,0.792912, Noise
203026255,2, DSCUT,0.931984, DSCUT
203031097,2,  GDOR,0.925913,  GDOR
203075848,2,  GDOR,0.688135,  GDOR
203127694,2,  GDOR,0.802671,  GDOR
203162555,2, DSCUT,0.948943, DSCUT
203185007,2,OTHPER,0.992631,OTHPER
203294831,2,    EA,0.938712,    EA
203361171,2,    EA,0.999881,    EA
203372915,2,  RRab,0.7796850000000001,  RRab
203396402,2,    EB,0.901315,OTHPER
203463506,2,    EB,0.997001,    EB
203466879,2,    EA,0.7439600000000001,    EA
203485624,2,    EB,0.989262,    EB
203486145,2,  GDOR,0.8510979999999999,  GDOR
203531786,2, DSCUT,0.891907, DSCUT
203534141,2, Noise,0.982327, Noise
203538499,2,OTHPER,0.991944,OTHPER
203542570,2,OTHPER,0.992749,OTHPER
203579600,2,  GDOR,0.904415,  GDOR
203593664,2,  GDOR,0.872841,  GDOR
203594870,2, Noise,0.981213, Noise
203596245,2,  RRab,0.978497,  RRab
203596258,2,  RRab,0.974756,  RRab
203606075,2,OTHPER,0.99178,OTHPER
203610780,2,    EA,0.934855,    EA
203630276,2,  RRab,0.730222,  RRab
203636784,2,    EA,0.916226,    EA
203637372,2,OTHPER,0.997261,OTHPER
203654939,2,OTHPER,0.990181,OTHPER
203656002,2,    EA,0.792024, Noise
203656237,2, DSCUT,0.981323, DSCUT
203692906,2,  RRab,0.708593,  RRab
203707855,2,  GDOR,0.85765,  GDOR
203710621,2, DSCUT,0.924444, DSCUT
203724283,2,    EA,0.708079, Noise
203728604,2,    EA,0.888892,    EA
203735292,2, Noise,0.982085, Noise
203735843,2, Noise,0.983781, Noise
203749720,2,    EB,0.987508,    EB
203764177,2,    EA,0.8737959999999999,    EA
203783195,2,    EA,0.937446, Noise
203819998,2,OTHPER,0.992792,OTHPER
203824391,2,OTHPER,0.990651,OTHPER
203829123,2,  GDOR,0.783407,  GDOR
203868608,2,    EA,0.833369,    EA
203878683,2,    EA,0.992566,    EA
203902287,2,OTHPER,0.990878,OTHPER
203907133,2, DSCUT,0.893193, DSCUT
203908645,2,    EA,0.822617, Noise
203911955,2,    EA,0.956625, Noise
203929178,2,    EA,0.970936,    EA
203942067,2,    EA,0.997095,    EA
203964886,2, Noise,0.98254, Noise
203976840,2, Noise,0.986509, Noise
204018323,2, Noise,0.984333, Noise
204019947,2, Noise,0.981093, Noise
204034714,2, Noise,0.98391, Noise
204059927,2,    EA,0.8324870000000001,OTHPER
204073447,2,    EA,0.992644,    EA
204090458,2, DSCUT,0.95744, DSCUT
204091956,2,  RRab,0.601612,  RRab
204105782,2,    EA,0.703855, Noise
204115101,2,  RRab,0.811253,  RRab
204138967,2,    EB,0.922392,    EB
204154300,2, DSCUT,0.907716, DSCUT
204171214,2,    EA,0.75017, Noise
204181806,2, DSCUT,0.980823, DSCUT
204183093,2,    EA,0.9175, Noise
204183656,2,    EA,0.8339139999999999, Noise
204185956,2,    EA,0.938837, Noise
204199860,2, DSCUT,0.929482, DSCUT
204212045,2,OTHPER,0.992346,OTHPER
204225046,2,    EB,0.935659,    EB
204230492,2, Noise,0.983125, Noise
204234138,2,    EA,0.7027909999999999, Noise
204236712,2,    EA,0.825982, Noise
204275121,2,    EB,0.974344,    EA
204299478,2,  GDOR,0.90368,  GDOR
204312847,2,    EA,0.97897,    EA
204320514,2,OTHPER,0.991632,OTHPER
204353555,2,    EB,0.959429,    EB
204376704,2, DSCUT,0.938141, DSCUT
204405530,2,OTHPER,0.991716,OTHPER
204470067,2,    EA,0.727722,    EA
204491082,2,OTHPER,0.990111,OTHPER
204494002,2,OTHPER,0.991051,OTHPER
204508330,2, Noise,0.987278, Noise
204556512,2,  GDOR,0.898408,  GDOR
204558226,2, DSCUT,0.94808, Noise
204558724,2,    EB,0.924029,    EB
204561424,2,    EB,0.968789,    EB
204561871,2,    EB,0.969129,    EB
204574155,2, DSCUT,0.940292, DSCUT
204576757,2,    EA,0.989592,    EA
204599418,2, Noise,0.982817, Noise
204600767,2, DSCUT,0.993473, DSCUT
204604359,2,  RRab,0.727238,  RRab
204629934,2,OTHPER,0.991779,OTHPER
204649811,2,    EA,0.714168,    EA
204666545,2, Noise,0.989277, Noise
204673472,2, DSCUT,0.910236, DSCUT
204676375,2, Noise,0.986168, Noise
204676803,2,    EA,0.935773,    EA
204748201,2,    EA,0.997102,    EA
204760247,2,    EA,0.719164, Noise
204771848,2,OTHPER,0.990166,OTHPER
204778376,2,  RRab,0.771544,  RRab
204780832,2,  RRab,0.669004,  RRab
204787022,2, Noise,0.983627, Noise
204807478,2,OTHPER,0.990174,OTHPER
204808234,2, Noise,0.983789, Noise
204815607,2,  RRab,0.66815,  RRab
204817435,2,  GDOR,0.745212,  GDOR
204819511,2,OTHPER,0.993285,OTHPER
204820375,2,OTHPER,0.993706,OTHPER
204876991,2,  RRab,0.688756,  RRab
204880394,2,  RRab,0.963592,  RRab
204894780,2,  RRab,0.627312,  RRab
204903894,2,  RRab,0.661624,  RRab
204904480,2,  RRab,0.646702,  RRab
204907195,2,    EB,0.997422,    EB
204924308,2, Noise,0.985243, Noise
204925198,2,OTHPER,0.99013,OTHPER
204930285,2, Noise,0.983002, Noise
204933419,2,  RRab,0.603196,  RRab
204938521,2,  GDOR,0.958563,  GDOR
