,epic_number,Campaign,DJA_Class,Probability,Class
0,201129544,1,OTHPER,0.993138,OTHPER
1,201146397,1,OTHPER,0.994474,OTHPER
2,201152399,1,OTHPER,0.99153,OTHPER
3,201159302,1, Noise,0.982609, Noise
4,201167905,1,OTHPER,0.992203,OTHPER
5,201180520,1,OTHPER,0.993422,OTHPER
6,201182911,1,    EA,0.982395,    EA
7,201184068,1,    EA,0.7918270000000001,    EA
8,201185922,1,  RRab,0.726632, Noise
9,201193506,1,    EB,0.92425,    EB
10,201193591,1, Noise,0.985741, Noise
11,201193666,1,    EB,0.971802,    EB
12,201198562,1, Noise,0.981981, Noise
13,201199000,1,  GDOR,0.663535, Noise
14,201203630,1,OTHPER,0.994265,OTHPER
15,201220442,1,OTHPER,0.990425,OTHPER
16,201238932,1, DSCUT,0.936373, DSCUT
17,201246763,1,    EA,0.813033, Noise
18,201251164,1,OTHPER,0.990257,OTHPER
19,201253025,1,    EA,0.998633,    EA
20,201257260,1,OTHPER,0.992557,OTHPER
21,201266727,1,    EB,0.999572,    EB
22,201271106,1,OTHPER,0.992301,OTHPER
23,201273981,1,OTHPER,0.993277,OTHPER
24,201280924,1, Noise,0.987972, Noise
25,201318538,1,OTHPER,0.990144,OTHPER
26,201318977,1,OTHPER,0.993704,OTHPER
27,201325244,1,OTHPER,0.990063,OTHPER
28,201330013,1,OTHPER,0.992539,OTHPER
29,201330992,1, Noise,0.990399, Noise
30,201356556,1,OTHPER,0.996229,OTHPER
31,201368515,1,    EA,0.748617,    EA
32,201371436,1, Noise,0.993808, Noise
33,201375034,1, Noise,0.981371, Noise
34,201377900,1, Noise,0.984591, Noise
35,201379113,1,    EA,0.998176,    EA
36,201380321,1,OTHPER,0.993639,OTHPER
37,201381586,1, Noise,0.982607, Noise
38,201382417,1,    EA,0.997609,    EA
39,201384087,1,OTHPER,0.992733,OTHPER
40,201386598,1, Noise,0.984989, Noise
41,201387169,1, Noise,0.988551, Noise
42,201398311,1,  RRab,0.832359,  RRab
43,201407812,1,    EA,0.7756109999999999,    EA
44,201410584,1, Noise,0.983465, Noise
45,201415414,1, Noise,0.984401, Noise
46,201417392,1, Noise,0.986155, Noise
47,201419249,1,OTHPER,0.992319,OTHPER
48,201422314,1, Noise,0.989789, Noise
49,201423623,1, Noise,0.982058, Noise
50,201427257,1, Noise,0.983735, Noise
51,201430034,1, Noise,0.986048, Noise
52,201434469,1,  GDOR,0.941915,  GDOR
53,201438515,1, Noise,0.987738, Noise
54,201446898,1, Noise,0.98265, Noise
55,201448202,1, Noise,0.982866, Noise
56,201458798,1,    EB,0.9982,    EB
57,201460186,1, Noise,0.985925, Noise
58,201462240,1,OTHPER,0.994731,OTHPER
59,201473612,1,    EB,0.990385,    EB
60,201476362,1,    EB,0.983152,    EB
61,201479538,1, Noise,0.985402, Noise
62,201484494,1, Noise,0.981424, Noise
63,201488365,1,    EA,0.98383,    EA
64,201488452,1,  RRab,0.760891,  RRab
65,201493012,1,OTHPER,0.992187,OTHPER
66,201499998,1,OTHPER,0.996354,OTHPER
67,201501958,1,OTHPER,0.990697,OTHPER
68,201505569,1, Noise,0.98339, Noise
69,201507195,1, Noise,0.982179, Noise
70,201511174,1,OTHPER,0.990191,OTHPER
71,201517854,1,    EB,0.911546,    EB
72,201518531,1, Noise,0.981473, Noise
73,201518712,1,OTHPER,0.992839,OTHPER
74,201531578,1,    EB,0.936976,    EB
75,201534061,1, Noise,0.984075, Noise
76,201536956,1,  RRab,0.619929,  RRab
77,201537170,1, Noise,0.988056, Noise
78,201540013,1,  RRab,0.740287,  RRab
79,201543049,1, Noise,0.988408, Noise
80,201545555,1, Noise,0.987031, Noise
81,201546971,1, Noise,0.985052, Noise
82,201549223,1, Noise,0.982805, Noise
83,201552030,1,    EB,0.973491,    EB
84,201552857,1, Noise,0.982516, Noise
85,201552908,1, Noise,0.984163, Noise
86,201561005,1,OTHPER,0.992238,OTHPER
87,201562530,1,    EA,0.7187640000000001, Noise
88,201565020,1,OTHPER,0.990826,OTHPER
89,201567780,1, Noise,0.981323, Noise
90,201567820,1, Noise,0.981138, Noise
91,201571178,1, Noise,0.988199, Noise
92,201571821,1, Noise,0.983838, Noise
93,201572722,1, Noise,0.985687, Noise
94,201576812,1,    EA,0.7054630000000001,    EA
95,201579626,1, Noise,0.985006, Noise
96,201582850,1, Noise,0.981241, Noise
97,201583400,1, Noise,0.981544, Noise
98,201587445,1,OTHPER,0.993223,OTHPER
99,201589262,1, Noise,0.983502, Noise
100,201590024,1, Noise,0.991359, Noise
101,201592061,1,    EB,0.995666,    EB
102,201592476,1, Noise,0.984747, Noise
103,201592815,1, Noise,0.9818, Noise
104,201593658,1, Noise,0.984893, Noise
105,201600674,1, Noise,0.983421, Noise
106,201602854,1, DSCUT,0.994356, DSCUT
107,201603595,1,OTHPER,0.990969,OTHPER
108,201607088,1,    EB,0.982095,    EB
109,201608319,1,OTHPER,0.993466,OTHPER
110,201610136,1,OTHPER,0.991038,OTHPER
111,201610811,1,    EB,0.900755,    EB
112,201615127,1,OTHPER,0.99142,OTHPER
113,201615601,1,  GDOR,0.974643,  GDOR
114,201617930,1, Noise,0.983828, Noise
115,201621305,1, Noise,0.981382, Noise
116,201626606,1, Noise,0.989296, Noise
117,201630905,1, Noise,0.982933, Noise
118,201634054,1, Noise,0.981037, Noise
119,201634844,1, Noise,0.986987, Noise
120,201642107,1,OTHPER,0.994665,OTHPER
121,201644790,1, Noise,0.984605, Noise
122,201646800,1, Noise,0.983021, Noise
123,201648133,1,    EA,0.972627,    EA
124,201656525,1,OTHPER,0.995386,OTHPER
125,201664689,1,OTHPER,0.992039,OTHPER
