epic_number,Class,Campaign,Probability
201129544,OTHPER,1,0.993138
201146397,OTHPER,1,0.994474
201152399,OTHPER,1,0.9915299999999999
201159302, Noise,1,0.9826090000000001
201167905,OTHPER,1,0.9922030000000001
201180520,OTHPER,1,0.9934219999999999
201182911,    EA,1,0.982395
201184068,    EA,1,0.7918270000000001
201185922,  RRab,1,0.726632
201193506,    EB,1,0.92425
201193591, Noise,1,0.985741
201193666,    EB,1,0.971802
201198562, Noise,1,0.981981
201199000,  GDOR,1,0.663535
201203630,OTHPER,1,0.994265
201220442,OTHPER,1,0.990425
201222038, Noise,1,0.9845870000000001
201238932, DSCUT,1,0.936373
201246763,    EA,1,0.813033
201251164,OTHPER,1,0.9902569999999999
201253025,    EA,1,0.998633
201257260,OTHPER,1,0.992557
201266727,    EB,1,0.9995719999999999
201271106,OTHPER,1,0.992301
201273981,OTHPER,1,0.9932770000000001
201280924, Noise,1,0.987972
201318538,OTHPER,1,0.990144
201318977,OTHPER,1,0.9937040000000001
201325244,OTHPER,1,0.9900629999999999
201330013,OTHPER,1,0.992539
201330992, Noise,1,0.990399
201356556,OTHPER,1,0.9962290000000001
201368515,    EA,1,0.748617
201371436, Noise,1,0.993808
201375034, Noise,1,0.9813709999999999
201377900, Noise,1,0.984591
201379113,    EA,1,0.9981760000000001
201380321,OTHPER,1,0.9936389999999999
201381586, Noise,1,0.982607
201382417,    EA,1,0.997609
201384087,OTHPER,1,0.992733
201386598, Noise,1,0.9849889999999999
201387169, Noise,1,0.9885510000000001
201398311,  RRab,1,0.832359
201407812,    EA,1,0.7756109999999999
201410584, Noise,1,0.9834649999999999
201415414, Noise,1,0.984401
201417392, Noise,1,0.9861549999999999
201419249,OTHPER,1,0.9923190000000001
201422314, Noise,1,0.9897889999999999
201423623, Noise,1,0.982058
201427257, Noise,1,0.983735
201430034, Noise,1,0.9860479999999999
201434469,  GDOR,1,0.941915
201438515, Noise,1,0.9877379999999999
201446898, Noise,1,0.98265
201448202, Noise,1,0.982866
201458798,    EB,1,0.9982
201460186, Noise,1,0.985925
201462240,OTHPER,1,0.9947309999999999
201473612,    EB,1,0.9903850000000001
201476362,    EB,1,0.983152
201479538, Noise,1,0.985402
201484494, Noise,1,0.981424
201488365,    EA,1,0.98383
201488452,  RRab,1,0.760891
201493012,OTHPER,1,0.992187
201499998,OTHPER,1,0.9963540000000001
201501958,OTHPER,1,0.9906969999999999
201505569, Noise,1,0.98339
201507195, Noise,1,0.9821790000000001
201511174,OTHPER,1,0.9901909999999999
201517854,    EB,1,0.911546
201518531, Noise,1,0.9814729999999999
201518712,OTHPER,1,0.9928389999999999
201531578,    EB,1,0.936976
201534061, Noise,1,0.984075
201536956,  RRab,1,0.619929
201537170, Noise,1,0.9880559999999999
201540013,  RRab,1,0.740287
201543049, Noise,1,0.988408
201545555, Noise,1,0.987031
201546971, Noise,1,0.985052
201549223, Noise,1,0.9828049999999999
201552030,    EB,1,0.973491
201552857, Noise,1,0.982516
201552908, Noise,1,0.9841629999999999
201561005,OTHPER,1,0.992238
201562530,    EA,1,0.7187640000000001
201565020,OTHPER,1,0.990826
201567780, Noise,1,0.981323
201567820, Noise,1,0.981138
201571178, Noise,1,0.9881989999999999
201571675, Noise,1,0.988339
201571821, Noise,1,0.9838379999999999
201572722, Noise,1,0.9856870000000001
201576812,    EA,1,0.7054630000000001
201579626, Noise,1,0.9850059999999999
201582850, Noise,1,0.981241
201583400, Noise,1,0.9815440000000001
201585232, Noise,1,0.9816010000000001
201587445,OTHPER,1,0.993223
201589262, Noise,1,0.9835020000000001
201590024, Noise,1,0.991359
201592061,    EB,1,0.9956659999999999
201592476, Noise,1,0.9847469999999999
201592815, Noise,1,0.9818
201593658, Noise,1,0.984893
201600674, Noise,1,0.9834209999999999
201602854, DSCUT,1,0.9943559999999999
201603595,OTHPER,1,0.9909690000000001
201607088,    EB,1,0.982095
201608319,OTHPER,1,0.993466
201610136,OTHPER,1,0.991038
201610811,    EB,1,0.900755
201615127,OTHPER,1,0.9914200000000001
201615601,  GDOR,1,0.974643
201617930, Noise,1,0.983828
201621305, Noise,1,0.981382
201626606, Noise,1,0.989296
201630905, Noise,1,0.982933
201634054, Noise,1,0.981037
201634844, Noise,1,0.9869870000000001
201642107,OTHPER,1,0.9946649999999999
201644790, Noise,1,0.984605
201646800, Noise,1,0.9830209999999999
201648133,    EA,1,0.972627
201656525,OTHPER,1,0.9953860000000001
201664689,OTHPER,1,0.9920389999999999
201670373,OTHPER,1,0.9943069999999999
