epic_number,orig_class,updated_class
205919993,OTHPER,    EA
206154641,OTHPER,    EA
210742688,OTHPER,    EA
206100511,OTHPER,    EB
206156025,OTHPER,    EB
206424802,OTHPER,    EB
210327060,OTHPER,    EB
210331848,OTHPER,    EB
210366107,OTHPER,    EB
210542037,OTHPER,    EB
210529250,OTHPER,    EB
210619926,OTHPER,    EB
210636169,OTHPER,    EB
210747698,OTHPER,    EB
210822498,OTHPER,    EB
210961514,OTHPER,    EB
211030057,OTHPER,    EB
211108263,OTHPER,    EB
211108136,OTHPER,    EB
211171449,OTHPER,    EB
211158357,OTHPER,    EA
206067457,OTHPER,  RRab
206248753,OTHPER,  RRab
206419920,OTHPER,  RRab
205943711,OTHPER,  RRab
210607917,OTHPER,  RRab
210617106,OTHPER,  RRab
205924614, Noise,    EA
210484192, Noise,    EA
210903662, Noise,    EA
210609071, Noise,    EA
210957318, Noise,    EA
211082420, Noise,    EA
211155479, Noise,    EA
211155977, Noise,    EA
206315178, Noise,    EA
211029254, Noise,    EB
211064559, Noise,    EB
210414957, Noise,    EA
